Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
100,0.5,100,0.5,100,1270.6188782366348,1236.6936474093716,1256.9961198570804,1225.7559722982994,1253.609717470776,1253.609717470776,2026-07-28 13:13:52,2026-07-28 13:49:57,2165.492691516876
100,0.1,100,1.0,100,1238.4882588320716,1198.6467545396663,1294.294238043586,1287.4966210483483,1279.6276266998286,1279.6276266998286,2026-07-28 06:52:39,2026-07-28 07:24:36,1917.899745464325
100,1.0,100,1.0,50,1188.1835000998135,1033.8578733357622,1253.6338408936067,1146.3810742874305,1393.964860899407,1188.1835000998135,2026-07-29 18:08:05,2026-07-29 18:39:36,1890.9030575752256
100,1.0,100,0.5,50,1178.4399642647372,1253.2144014998546,1209.1857317711049,1363.457147743746,1208.108162093265,1209.1857317711049,2026-07-29 14:32:07,2026-07-29 15:03:22,1874.589818954468
100,1.0,100,0.7,50,1175.6971148775458,1237.4580577501276,1325.0970028211575,1205.6475340214604,1269.609914814743,1237.4580577501276,2026-07-29 16:20:00,2026-07-29 16:50:59,1859.445377588272
100,1.0,50,1.0,100,1097.9302297285176,1254.22399705368,1257.0624647117324,1298.4680418553266,1223.6518823533404,1254.22399705368,2026-07-29 10:15:58,2026-07-29 10:46:52,1853.861491441727
50,1.0,100,1.0,100,1349.9344378715873,1211.29153790831,1204.1976400069002,1155.0683189220902,1191.228073272734,1204.1976400069002,2026-07-27 23:41:32,2026-07-28 00:12:12,1840.309617996216
100,1.0,50,0.7,100,1104.1885186530944,1226.9904169082747,1300.8752414882038,1080.7571637776005,1136.4833461965225,1136.4833461965225,2026-07-29 09:22:12,2026-07-29 09:52:34,1822.12548995018
50,1.0,100,0.5,100,1212.5355190460923,1152.879672746499,1191.5246151307997,1098.8167861046077,1256.2010237724644,1191.5246151307997,2026-07-27 21:55:19,2026-07-27 22:25:41,1822.0943665504456
50,1.0,100,0.7,100,1176.8685653327132,1268.3718519861775,1161.570512213989,1293.729913871229,1257.2793471711898,1257.2793471711898,2026-07-27 22:48:17,2026-07-27 23:18:34,1816.4924986362453
100,1.0,100,0.1,50,1219.740636533132,1153.8059068891791,1253.7964132761022,1248.6851975068228,1233.6936070357956,1233.6936070357956,2026-07-29 12:47:09,2026-07-29 13:17:20,1810.500564813614
50,1.0,100,0.0,100,1184.3441239927702,1271.0177252229091,1175.8814566464844,1195.866356922256,1179.1935271059922,1184.3441239927702,2026-07-27 20:10:46,2026-07-27 20:40:47,1800.942079782486
100,1.0,100,0.0,50,1155.0827748210495,1248.3897022550564,1406.9796750085206,1206.8747663517256,1150.8706851501645,1206.8747663517256,2026-07-29 11:01:33,2026-07-29 11:31:22,1788.9987154006958
50,1.0,100,0.1,100,1248.8126492925192,1132.994444928259,1353.2719666468906,1330.240261377109,1160.312700862096,1248.8126492925192,2026-07-27 21:03:03,2026-07-27 21:32:47,1784.026629447937
100,1.0,50,0.1,100,1126.6641336531582,1274.186406272993,1344.00001942292,1333.1158984348203,1114.0895730722875,1274.186406272993,2026-07-29 07:37:26,2026-07-29 08:07:00,1774.0805957317352
100,1.0,50,0.5,100,1238.2603637541329,1267.0735057212516,1215.28516138421,1199.4596185650855,1041.7275851094023,1215.28516138421,2026-07-29 08:29:40,2026-07-29 08:59:08,1767.5104100704193
100,0.7,100,1.0,50,1176.5173527085492,1158.9165545177111,1071.5004758025134,1385.742393595007,1280.6940309255383,1176.5173527085492,2026-07-29 02:49:05,2026-07-29 03:18:21,1755.6428952217102
100,1.0,50,0.0,100,1257.1963417843376,1238.5584299016427,1234.181156986264,1120.134631324902,1206.361025313011,1234.181156986264,2026-07-29 06:46:02,2026-07-29 07:15:17,1754.48135638237
