gen,nevals,Promedio,Max_Ganancia,Desviacion
0,50,48.133599999999994,59.97,7.6030706323169195
1,37,50.3332,59.97,8.113396684496573
2,28,54.337199999999996,59.97,6.9830225661958165
3,37,56.84319999999999,59.97,5.9970854387777415
4,40,56.04959999999999,59.97,7.444983803877614
5,37,58.1596,59.97,5.453370686098643
6,37,57.66279999999999,59.97,6.022733943982582
7,37,58.4612,59.97,4.832828008526684
8,37,56.7536,59.97,7.005439817741638
9,42,57.75679999999999,59.97,5.77189412238305
10,34,57.7576,59.97,5.765963426869789
11,31,57.26039999999999,59.97,6.813126436519434
12,26,59.866800000000005,59.97,0.702479722127265
13,38,58.959599999999995,59.97,3.607224395570644
14,40,58.157999999999994,59.97,5.466405034389603
15,42,57.75959999999999,59.97,6.352546878221363
